PG.ProteinGroups	[1] 2408_UE_34-ORS-A1.raw.PG.Quantity	[2] 2408_UE_35-ORS-B1.raw.PG.Quantity	[3] 2408_UE_36-ORS-C1.raw.PG.Quantity	[4] 2408_UE_37-ORS-D1.raw.PG.Quantity	[5] 2408_UE_39-ORS-A2.raw.PG.Quantity	[6] 2408_UE_40-ORS-B2.raw.PG.Quantity	[7] 2408_UE_41-ORS-C2.raw.PG.Quantity	[8] 2408_UE_42-ORS-D2.raw.PG.Quantity	[9] 2408_UE_44-ORS-A3.raw.PG.Quantity	[10] 2408_UE_45-ORS-B3.raw.PG.Quantity	[11] 2408_UE_47-ORS-C3.raw.PG.Quantity	[12] 2408_UE_49-ORS-D3.raw.PG.Quantity
O14709	15161.41015625	44258.80078125	44025.4765625	25580.53125	17106.21484375	31868.28515625	26558.04296875	27607.4453125	NaN	26341.78125	31446.3046875	28304.40625
O14734	615194.75	17214.134765625	48418.1484375	68128.5	575079.5	16612.384765625	55421.25390625	31227.083984375	602588.9375	20030.412109375	30646.025390625	60787.6171875
O14818;Q8TAA3	9769.7021484375	13152.087890625	8432.7626953125	3.8144500255584717	7210.185546875	5761.01171875	3.803062915802002	3.5056636333465576	6701.18115234375	NaN	5399.42138671875	4120.6884765625
O14832	292825.0625	2037.725830078125	19493.759765625	32466.8515625	193998.75	2496.800537109375	15847.2734375	6348.2734375	167297.078125	NaN	2861.7373046875	NaN
O14880	40388.17578125	9634.3740234375	9969.6044921875	13221.796875	31527.44921875	4686.68212890625	6601.64306640625	10354.83203125	23743.939453125	6916.22216796875	12178.0654296875	4144.9853515625
O14908	314546	58434.1015625	74823.8515625	64727.17578125	253059.34375	36526.71484375	70137.71875	78278.6875	232347.546875	47216.65625	36867.73828125	86573.390625
O14925;Q5SRD1	1802.11328125	7321.33544921875	8096.7646484375	2336.8916015625	2.0297956466674805	NaN	8329.021484375	1062.68408203125	2047.004150390625	10263.666015625	3465.213134765625	1302.369873046875
O14974	4320747.5	3645079.25	3447778	5615171.5	4844174	3426192.25	3761922.25	4742613.5	4367420	3527253.75	2567925	6957233.5
O14979	3390.9208984375	13768.2470703125	14246.7177734375	10366.298828125	3216.2744140625	13645.0810546875	8205.3740234375	43877.62109375	601.5120849609375	15122.302734375	6090.82861328125	3136.07958984375
O15067	6821.44580078125	12891.525390625	6941.55029296875	100.89383697509766	5418.95703125	9197.080078125	7885.42138671875	349.52398681640625	5608.89892578125	10759.3349609375	6552.91845703125	NaN
O15144	14503.7763671875	9465.7548828125	13122.5263671875	NaN	23381.33984375	13168.5693359375	8461.09765625	14522.8798828125	21336.220703125	6482.70751953125	17300.755859375	NaN
O15213	53469.078125	66027.4765625	51143.06640625	66042.1484375	39210.54296875	54636.4765625	26483.9296875	98140.4140625	23620.505859375	38324.41796875	75205.578125	57826.51171875
O15228	103218.796875	9239.990234375	30357.33203125	11264.32421875	118462.0078125	8933.2138671875	32640.611328125	16682.380859375	99397.3125	5260.28564453125	21487.140625	16.947050094604492
O15234	50452.77734375	104403.34375	61115.578125	52577.2265625	18196.583984375	50686.98046875	51283.77734375	36793.65234375	30328.26953125	82782.921875	16542.59375	67154.484375
O15254	786952.125	19471.958984375	105173.6796875	80282.6484375	898905.125	20724.99609375	112025.0546875	73222.796875	857431.625	22046.767578125	68089.453125	80599
O15371	24326.44921875	31970.669921875	23841.92578125	21053.330078125	25642.0390625	19711.697265625	15548.814453125	17013.224609375	30965.541015625	24708.98828125	30644.328125	7888.37158203125
O15381	11191.796875	25412.580078125	22618.34765625	30565.970703125	10979.2490234375	16492.798828125	31348.123046875	80107.5390625	13265.1611328125	19469.953125	52679.015625	28840.35546875
O15523	98757.3671875	60390.015625	46145.12109375	34678.03125	60752.33203125	39504.3359375	54592.76953125	39202.4140625	51820.58984375	29058.78125	32698.384765625	21381.96875
O43143	239405.140625	355852.375	267303.15625	216376.390625	245605.5	413460.8125	257335.625	181530.828125	200525.828125	400694.90625	276867.84375	223565.390625
O43159	1108.503662109375	624.4359130859375	453.1916809082031	NaN	NaN	NaN	NaN	NaN	765.3892822265625	NaN	477.3773498535156	NaN
O43172	9318.3564453125	9803.623046875	10275.509765625	7251.33740234375	7607.9453125	11051.7080078125	8717.4013671875	1826.1754150390625	3958.58349609375	5187.45361328125	11723.5693359375	4698.82666015625
O43175	142123.953125	85017.703125	93498.6796875	50634.42578125	146851.484375	72189.609375	105750.4296875	65973.71875	89618.0625	58963.5	108097.875	62808.70703125
